,username,number of followers,number of friends
0,EswatiniGovern1,11317,82
1,MalawiGovt,39303,26
2,hagegeingob,192454,55
3,FinanceSC,126,224
4,PresidencyZA,1598927,14
5,Dora_Siliya,40838,13
6,edmnangagwa,546364,116
7,MinSantedj,2933,127
8,hawelti,66230,435
9,StateHouseKenya,1103934,214
10,WHO,8107036,1725
11,M_Farmaajo,424336,2
12,SouthSudanGov,2557,463
13,SudanPMHamdok,370923,115
14,TZSpokesperson,4022,32
15,KagutaMuseveni,1813232,28
16,angola_Mirex,3271,312
17,willynyamitwe,107398,4656
18,Cherif_MZ,18600,195
19,Presidence_RDC,340815,125
20,PresidentABO,173547,4
21,gouvbenin,28084,101
22,rochkaborepf,256259,151
23,PresidenciaCV,3282,885
24,AOuattara_PRCI,832558,23
25,Presidency_GMB,10761,27
26,NAkufoAddo,1507995,352
27,President_GN,735,29
28,USEmbalo,8479,181
29,PresidenceMali,228923,1001
30,CheikhGhazouani,31811,9
31,IssoufouMhm,116264,17
32,MBuhari,3271821,26
33,PaulKagame,1983988,181
34,PresidentBio,14893,0
35,MSPS_Togo,1132,2
