,username,popularity score,reach score
91,Trevornoah,3679333,10799194
64,JendayiFrazer,838285,30407
84,loyisogola,563992,1089015
16,malonebarry,238981,31411
24,forbeesta,202702,23603
45,schneiderhome,181724,27386
88,Julius_S_Malema,174551,3123880
0,gettleman,147094,25739
55,MbuyiseniNdlozi,143820,1077425
4,JamesCopnall,125987,27006
36,mary_harper,113232,60188
21,mikestopforth,113081,22163
34,africagathering,90718,49603
49,AfricaGoodNews,73012,50823
42,daniel_howden,60707,28416
19,JamalMOsman,57748,94572
20,iamsuede,41404,20494
80,UlrichJvV,37948,1573128
82,MTVbaseAfrica,27208,1415346
40,GautengProvince,24528,219856
79,euphonik,22136,1753316
2,andiMakinana,19761,104018
41,Aynte,17180,193690
59,geoffreyyork,15005,296328
8,Moadow,14261,52688
77,Camfed,13606,209124
73,hartleyr,13456,35671
87,helenzille,13264,1445386
13,sarzss,13080,12822
29,Hamza_Africa,12842,98931
66,NDOCKenya,12550,152492
76,BobSkinstad,11917,108667
81,OfficialCSA,10552,1161580
65,PeterGreste,9393,52837
27,audisouthafrica,9371,216302
89,News24,8843,3573625
90,GarethCliff,8737,1974646
23,t_mcconnell,7835,19447
6,PatrickNgowi,7747,22975
74,liveamp,6312,938722
70,_AfricanUnion,6026,540634
35,okayafrica,5769,107134
12,ThisIsAfricaTIA,4837,48912
53,AfricaResearch,4344,90417
37,savetherhino,4220,81342
85,5FM,4055,1164439
50,willintune,3906,20117
28,ONEinAfrica,3778,322501
9,BrendanSAfrica,3355,28828
71,gertjohan,3246,49542
25,jaxpanik,2986,7504
26,thisisafrica,2986,6
10,CityTshwane,2607,441502
43,rangerdiaries,2353,25085
33,MercedesBenz_SA,2243,252170
31,cx73,2010,120502
67,Mo_IbrahimFdn,1852,116073
18,KahnMorbee,1802,17866
30,africatechie,1764,107541
63,art2gee,1714,62548
56,africaprogress,1636,59420
5,oafrica,1549,34179
57,IFCAfrica,1365,128888
86,mailandguardian,1238,1060193
22,equal_education,1232,62899
32,ayittey,1067,17224
62,IECSouthAfrica,1016,220798
52,MadeItInAfrica,951,106008
3,AfricaCheck,950,72627
47,CityofJoburgZA,737,1063968
14,TheEIU_Africa,731,25153
75,SamsungSA,718,572456
61,forbesafrica,708,215898
48,ThinkAfricaFeed,703,49381
60,Entrepreneur_SA,694,270
15,InvestInAfrica,685,49854
11,VISI_Mag,630,54717
44,TheStar_news,602,191694
46,theafricareport,592,166700
68,ParliamentofRSA,529,674448
83,Computicket,455,201509
58,HenleyAfrica,436,217282
51,cnbcafrica,396,241033
1,a24media,352,34352
17,artsouthafrica,342,248
69,SandtonCity,290,57843
39,TechCentral,204,83504
54,FoodBlogCT,107,110189
38,africamedia_CPJ,1,487
72,SmithInAfrica,1,69
7,StateAfrica,1,8
78,BBCAndrewH,1,7
